"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Zhao Y.; Caffo B.S.; Ewen J.B.","Zhao, Yi (57202332071); Caffo, Brian S. (35069047000); Ewen, Joshua B. (14007607000)","57202332071; 35069047000; 14007607000","B-value and empirical equivalence bound: A new procedure of hypothesis testing","2022","Statistics in Medicine","41","6","","964","980","16","1","10.1002/sim.9298","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122878388&doi=10.1002%2fsim.9298&partnerID=40&md5=78bfc6045b8dd1a7e17eb343e3767493","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85122878388"
"Chén O.Y.; Crainiceanu C.; Ogburn E.L.; Caffo B.S.; Wager T.D.; Lindquist M.A.","Chén, Oliver Y. (57216819715); Crainiceanu, Ciprian (6603085071); Ogburn, Elizabeth L. (14060943800); Caffo, Brian S. (35069047000); Wager, Tor D. (6603627020); Lindquist, Martin A. (7007030971)","57216819715; 6603085071; 14060943800; 35069047000; 6603627020; 7007030971","High-dimensional multivariate mediation with application to neuroimaging data","2018","Biostatistics","19","2","","121","136","15","59","10.1093/biostatistics/kxx027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044742502&doi=10.1093%2fbiostatistics%2fkxx027&partnerID=40&md5=44b7fdc1fc85f59d24b7291bf0e7d842","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85044742502"
"Jalilianhasanpour R.; Chen H.; Caffo B.; Johnson P.; Beheshtian E.; Yousem D.M.","Jalilianhasanpour, Rozita (55814587600); Chen, Huan (57219804412); Caffo, Brian (35069047000); Johnson, Pamela (35461661500); Beheshtian, Elham (57204441866); Yousem, David M. (7005911220)","55814587600; 57219804412; 35069047000; 35461661500; 57204441866; 7005911220","Are Women Disadvantaged in Academic Radiology?","2020","Academic Radiology","27","12","","1760","1766","6","10","10.1016/j.acra.2020.09.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095579794&doi=10.1016%2fj.acra.2020.09.019&partnerID=40&md5=ef73532feab167f0585b5f438f0cbd68","Article","Final","","Scopus","2-s2.0-85095579794"
"Wang B.; Caffo B.S.; Luo X.; Liu C.-F.; Faria A.V.; Miller M.I.; Zhao Y.","Wang, Bingkai (57208720329); Caffo, Brian S. (35069047000); Luo, Xi (56639732500); Liu, Chin-Fu (57204952235); Faria, Andreia V. (35478593200); Miller, Michael I. (35425199300); Zhao, Yi (57202332071)","57208720329; 35069047000; 56639732500; 57204952235; 35478593200; 35425199300; 57202332071","Regularized regression on compositional trees with application to MRI analysis","2022","Journal of the Royal Statistical Society. Series C: Applied Statistics","71","3","","541","561","20","0","10.1111/rssc.12545","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126697930&doi=10.1111%2frssc.12545&partnerID=40&md5=97d759046cb5e2990d800c54173164d6","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85126697930"
"Qiu H.; Han F.; Liu H.; Caffo B.","Qiu, Huitong (56710878400); Han, Fang (55377043500); Liu, Han (26642968600); Caffo, Brian (35069047000)","56710878400; 55377043500; 26642968600; 35069047000","Joint estimation of multiple graphical models from high dimensional time series","2016","Journal of the Royal Statistical Society. Series B: Statistical Methodology","78","2","","487","504","17","54","10.1111/rssb.12123","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956581970&doi=10.1111%2frssb.12123&partnerID=40&md5=0065d12982d5aa962ddd7bae46c819e6","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84956581970"
"Levine M.A.; Chen H.; Wodka E.L.; Caffo B.S.; Ewen J.B.","Levine, Michael A. (57219957356); Chen, Huan (57219524107); Wodka, Ericka L. (14632846000); Caffo, Brian S. (35069047000); Ewen, Joshua B. (14007607000)","57219957356; 57219524107; 14632846000; 35069047000; 14007607000","Autism and Hierarchical Models of Intelligence","2023","Journal of Autism and Developmental Disorders","","","","","","","0","10.1007/s10803-023-05984-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153757412&doi=10.1007%2fs10803-023-05984-x&partnerID=40&md5=21eb0e4520affa7bb48ececf887c9631","Article","Article in press","All Open Access; Green Open Access","Scopus","2-s2.0-85153757412"
"Li S.; Chen S.; Yue C.; Caffo B.","Li, Shanshan (57217797574); Chen, Shaojie (56427239900); Yue, Chen (56042193900); Caffo, Brian (35069047000)","57217797574; 56427239900; 56042193900; 35069047000","A parcellation based nonparametric algorithm for independent component analysis with application to fMRI data","2016","Frontiers in Neuroscience","10","JAN","15","","","","3","10.3389/fnins.2016.00015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958038655&doi=10.3389%2ffnins.2016.00015&partnerID=40&md5=f5a978cf752c33d25383a4ecd853aaa1","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84958038655"
"Rock C.; Thom K.A.; Harris A.D.; Li S.; Morgan D.; Milstone A.M.; Caffo B.; Joshi M.; Leekha S.","Rock, Clare (55208544800); Thom, Kerri A. (22935952200); Harris, Anthony D. (7404040049); Li, Shanahan (57189226955); Morgan, Daniel (14039408700); Milstone, Aaron M. (8660244700); Caffo, Brian (35069047000); Joshi, Manjari (7202602107); Leekha, Surbhi (14623002900)","55208544800; 22935952200; 7404040049; 57189226955; 14039408700; 8660244700; 35069047000; 7202602107; 14623002900","A Multicenter Longitudinal Study of Hospital-Onset Bacteremia: Time for a New Quality Outcome Measure?","2016","Infection Control and Hospital Epidemiology","37","2","","143","148","5","35","10.1017/ice.2015.261","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966300047&doi=10.1017%2fice.2015.261&partnerID=40&md5=9fa277353b1ac5e60fc3785719c7911c","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84966300047"
"Breining B.L.; Faria A.V.; Caffo B.; Meier E.L.; Sheppard S.M.; Sebastian R.; Tippett D.C.; Hillis A.E.","Breining, Bonnie L. (56401203400); Faria, Andreia V. (35478593200); Caffo, Brian (35069047000); Meier, Erin L. (56711675900); Sheppard, Shannon M. (56706949500); Sebastian, Rajani (43061369500); Tippett, Donna C. (6701637595); Hillis, Argye E. (7004956247)","56401203400; 35478593200; 35069047000; 56711675900; 56706949500; 43061369500; 6701637595; 7004956247","Neural regions underlying object and action naming: complementary evidence from acute stroke and primary progressive aphasia","2022","Aphasiology","36","6","","732","760","28","15","10.1080/02687038.2021.1907291","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106044637&doi=10.1080%2f02687038.2021.1907291&partnerID=40&md5=d1eb5b2e1aa89de7ec27e406cbf89e9f","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85106044637"
"Crasta J.E.; Raja A.E.; Caffo B.S.; Hluchan C.M.; Suskauer S.J.","Crasta, Jewel E. (56392835000); Raja, Altamash E. (57223929152); Caffo, Brian S. (35069047000); Hluchan, Christine M. (57211666825); Suskauer, Stacy J. (7801643293)","56392835000; 57223929152; 35069047000; 57211666825; 7801643293","The Effect of Age and Competition Level on Subtle Motor Performance in Adolescents Medically Cleared Postconcussion: Preliminary Findings","2021","American Journal of Physical Medicine and Rehabilitation","100","6","","563","569","6","4","10.1097/PHM.0000000000001589","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106464150&doi=10.1097%2fPHM.0000000000001589&partnerID=40&md5=2fa95ffa323c515cbe506e95027a54dd","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85106464150"
"Zhao Y.; Wang B.; Liu C.-F.; Faria A.V.; Miller M.I.; Caffo B.S.; Luo X.","Zhao, Yi (57202332071); Wang, Bingkai (57208720329); Liu, Chin-Fu (57204952235); Faria, Andreia V. (35478593200); Miller, Michael I. (35425199300); Caffo, Brian S. (35069047000); Luo, Xi (56639732500)","57202332071; 57208720329; 57204952235; 35478593200; 35425199300; 35069047000; 56639732500","Identifying brain hierarchical structures associated with Alzheimer's disease using a regularized regression method with tree predictors","2023","Biometrics","79","3","","2333","2345","12","0","10.1111/biom.13775","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141385902&doi=10.1111%2fbiom.13775&partnerID=40&md5=6fbad365616dea2841820f9f59f1b05c","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85141385902"
"Liu C.-F.; Padhy S.; Ramachandran S.; Wang V.X.; Efimov A.; Bernal A.; Shi L.; Vaillant M.; Ratnanather J.T.; Faria A.V.; Caffo B.; Albert M.; Miller M.I.","Liu, Chin-Fu (57204952235); Padhy, Shreyas (57219754589); Ramachandran, Sandhya (57193239622); Wang, Victor X. (57210602067); Efimov, Andrew (57210604403); Bernal, Alonso (57210600683); Shi, Linyuan (57210600208); Vaillant, Marc (7004052399); Ratnanather, J. Tilak (57221685340); Faria, Andreia V. (35478593200); Caffo, Brian (35069047000); Albert, Marilyn (7403276705); Miller, Michael I. (35425199300)","57204952235; 57219754589; 57193239622; 57210602067; 57210604403; 57210600683; 57210600208; 7004052399; 57221685340; 35478593200; 35069047000; 7403276705; 35425199300","Using deep Siamese neural networks for detection of brain asymmetries associated with Alzheimer's Disease and Mild Cognitive Impairment","2019","Magnetic Resonance Imaging","64","","","190","199","9","48","10.1016/j.mri.2019.07.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071137520&doi=10.1016%2fj.mri.2019.07.003&partnerID=40&md5=139d6fcde918041f4a7da90b1b71555a","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85071137520"
"Charkhchi P.; Wang B.; Caffo B.; Yousem D.M.","Charkhchi, P. (57057752300); Wang, B. (57208720329); Caffo, B. (35069047000); Yousem, David M. (7005911220)","57057752300; 57208720329; 35069047000; 7005911220","Bias in neuroradiology peer review: Impact of a “ding” on “dinging” others","2019","American Journal of Neuroradiology","40","1","","19","24","5","4","10.3174/ajnr.A5908","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059904139&doi=10.3174%2fajnr.A5908&partnerID=40&md5=fc5e1b05c872f65346b14f9166ba5ab2","Review","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85059904139"
"Chen S.; Liu K.; Yang Y.; Xu Y.; Lee S.; Lindquist M.; Caffo B.S.; Vogelstein J.T.","Chen, Shaojie (56427239900); Liu, Kai (7404199732); Yang, Yuguang (56316162300); Xu, Yuting (57198771447); Lee, Seonjoo (57201780823); Lindquist, Martin (7007030971); Caffo, Brian S. (35069047000); Vogelstein, Joshua T. (15761214600)","56427239900; 7404199732; 56316162300; 57198771447; 57201780823; 7007030971; 35069047000; 15761214600","An M-estimator for reduced-rank system identification","2017","Pattern Recognition Letters","86","","","76","81","5","4","10.1016/j.patrec.2016.12.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009127209&doi=10.1016%2fj.patrec.2016.12.012&partnerID=40&md5=750cf7d45ec4248c5c46147c123a0a7d","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85009127209"
"Caffo B.S.; D'Asaro F.A.; Garcez A.; Raffinetti E.","Caffo, Brian S. (35069047000); D'Asaro, Fabio A. (55903529100); Garcez, Artur (6603397393); Raffinetti, Emanuela (36601260100)","35069047000; 55903529100; 6603397393; 36601260100","Editorial: Explainable artificial intelligence models and methods in finance and healthcare","2022","Frontiers in Artificial Intelligence","5","","970246","","","","1","10.3389/frai.2022.970246","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137017187&doi=10.3389%2ffrai.2022.970246&partnerID=40&md5=c2fbb4eeb43692c16c2fcda157407867","Editorial","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85137017187"
"Caffo B.S.; D'Asaro F.A.; Garcez A.; Raffinetti E.","Caffo, Brian S. (35069047000); D'Asaro, Fabio A. (55903529100); Garcez, Artur (6603397393); Raffinetti, Emanuela (36601260100)","35069047000; 55903529100; 6603397393; 36601260100","Erratum to: Editorial: Explainable artificial intelligence models and methods in finance and healthcare (Frontiers in Artificial Intelligence, (2022), 5, 10.3389/frai.2022.970246)","2023","Frontiers in Artificial Intelligence","6","","1157762","","","","0","10.3389/frai.2023.1157762","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149618938&doi=10.3389%2ffrai.2023.1157762&partnerID=40&md5=fbdcb46b8c28946b4c844f058283674c","Erratum","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85149618938"
"de Aguiar V.; Zhao Y.; Ficek B.N.; Webster K.; Rofes A.; Wendt H.; Frangakis C.; Caffo B.; Hillis A.E.; Rapp B.; Tsapkini K.","de Aguiar, Vânia (56481545300); Zhao, Yi (57202332071); Ficek, Bronte N. (56394402900); Webster, Kimberly (8734051000); Rofes, Adrià (55917698200); Wendt, Haley (57208472244); Frangakis, Constantine (7003829132); Caffo, Brian (35069047000); Hillis, Argye E. (7004956247); Rapp, Brenda (7006701639); Tsapkini, Kyrana (6602810995)","56481545300; 57202332071; 56394402900; 8734051000; 55917698200; 57208472244; 7003829132; 35069047000; 7004956247; 7006701639; 6602810995","Cognitive and language performance predicts effects of spelling intervention and tDCS in Primary Progressive Aphasia","2020","Cortex","124","","","66","84","18","16","10.1016/j.cortex.2019.11.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076287473&doi=10.1016%2fj.cortex.2019.11.001&partnerID=40&md5=4a3f102805adfa00744ac86a9d1cd998","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85076287473"
"Breining B.L.; Faria A.V.; Tippett D.C.; Stockbridge M.D.; Meier E.L.; Caffo B.; Hermann O.; Friedman R.; Meyer A.; Tsapkini K.; Hillis A.E.","Breining, Bonnie L. (56401203400); Faria, Andreia Vasconcellos (35478593200); Tippett, Donna Clark (6701637595); Stockbridge, Melissa Dawn (56716117800); Meier, Erin L. (56711675900); Caffo, Brian (35069047000); Hermann, Olivia (58093529700); Friedman, Rhonda (7401990643); Meyer, Aaron (56579580800); Tsapkini, Kyrana (6602810995); Hillis, Argye Elizabeth (7004956247)","56401203400; 35478593200; 6701637595; 56716117800; 56711675900; 35069047000; 58093529700; 7401990643; 56579580800; 6602810995; 7004956247","Association of Regional Atrophy With Naming Decline in Primary Progressive Aphasia","2023","Neurology","100","6","","582","594","12","1","10.1212/WNL.0000000000201491","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147536919&doi=10.1212%2fWNL.0000000000201491&partnerID=40&md5=1222fbe295f450597c3392b4b860ab37","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85147536919"
"Jha A.K.; Caffo B.; Frey E.C.","Jha, Abhinav K (36238167200); Caffo, Brian (35069047000); Frey, Eric C (7103012762)","36238167200; 35069047000; 7103012762","A no-gold-standard technique for objective assessment of quantitative nuclear-medicine imaging methods","2016","Physics in Medicine and Biology","61","7","","2780","2801","21","21","10.1088/0031-9155/61/7/2780","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962278203&doi=10.1088%2f0031-9155%2f61%2f7%2f2780&partnerID=40&md5=f97731aab3e74cc8564e803c2b78b663","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84962278203"
"Wang Z.; Ficek B.N.; Webster K.T.; Herrmann O.; Frangakis C.E.; Desmond J.E.; Onyike C.U.; Caffo B.; Hillis A.E.; Tsapkini K.","Wang, Zeyi (57202333724); Ficek, Bronte N. (56394402900); Webster, Kimberly T. (8734051000); Herrmann, Olivia (57221555039); Frangakis, Constantine E. (7003829132); Desmond, John E. (7005255323); Onyike, Chiadi U. (6602691382); Caffo, Brian (35069047000); Hillis, Argye E. (7004956247); Tsapkini, Kyrana (6602810995)","57202333724; 56394402900; 8734051000; 57221555039; 7003829132; 7005255323; 6602691382; 35069047000; 7004956247; 6602810995","Specificity in Generalization Effects of Transcranial Direct Current Stimulation Over the Left Inferior Frontal Gyrus in Primary Progressive Aphasia","2023","Neuromodulation","26","4","","850","860","10","1","10.1016/j.neurom.2022.09.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141329881&doi=10.1016%2fj.neurom.2022.09.004&partnerID=40&md5=1192790f148fac7eca170a5fdc517fa4","Article","Final","","Scopus","2-s2.0-85141329881"
"Bu X.; Gao Y.; Liang K.; Bao W.; Chen Y.; Guo L.; Gong Q.; Lu H.; Caffo B.; Mori S.; Huang X.","Bu, Xuan (57204090585); Gao, Yingxue (57204085573); Liang, Kaili (57216374789); Bao, Weijie (57224104334); Chen, Ying (56706872700); Guo, Lanting (7403156762); Gong, Qiyong (55817409800); Lu, Hanzhang (8386439700); Caffo, Brian (35069047000); Mori, Susumu (35418783800); Huang, Xiaoqi (18233263300)","57204090585; 57204085573; 57216374789; 57224104334; 56706872700; 7403156762; 55817409800; 8386439700; 35069047000; 35418783800; 18233263300","Multivariate associations between behavioural dimensions and white matter across children and adolescents with and without attention-deficit/hyperactivity disorder","2023","Journal of Child Psychology and Psychiatry and Allied Disciplines","64","2","","244","253","9","0","10.1111/jcpp.13689","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136505358&doi=10.1111%2fjcpp.13689&partnerID=40&md5=689be4b8d45707df9e6ca6f105b11b5c","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85136505358"
"Airan R.D.; Vogelstein J.T.; Pillai J.J.; Caffo B.; Pekar J.J.; Sair H.I.","Airan, Raag D. (18633735800); Vogelstein, Joshua T. (15761214600); Pillai, Jay J. (7004264827); Caffo, Brian (35069047000); Pekar, James J. (7003771238); Sair, Haris I. (14519858700)","18633735800; 15761214600; 7004264827; 35069047000; 7003771238; 14519858700","Factors affecting characterization and localization of interindividual differences in functional connectivity using MRI","2016","Human Brain Mapping","37","5","","1986","1997","11","52","10.1002/hbm.23150","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961613003&doi=10.1002%2fhbm.23150&partnerID=40&md5=e170ddf503385178fa24f96e94a529e0","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84961613003"
